player_display,first,last,suffix,position,nfl_team,name_key,source,adp_value,adp_min,adp_max,adp_n,as_of,adp_rank,adp_usable_for_survival
"Freiermuth, Pat",Pat,Freiermuth,,TE,PIT,pat freiermuth,NFFC,235.19,180,293,33,2026-08-31,220.0,True
"Mooney, Darnell",Darnell,Mooney,,WR,NYG,darnell mooney,NFFC,238.22,191,333,47,2026-08-31,221.0,True
"Parkinson, Colby",Colby,Parkinson,,TE,LAR,colby parkinson,NFFC,238.51,179,281,36,2026-08-31,222.0,True
"Cousins, Kirk",Kirk,Cousins,,QB,LV,kirk cousins,NFFC,239.43,156,315,26,2026-08-31,223.0,True
"Tonges, Jake",Jake,Tonges,,TE,SF,jake tonges,NFFC,239.67,197,311,55,2026-08-31,224.0,True
"Perine, Samaje",Samaje,Perine,,RB,CIN,samaje perine,NFFC,239.78,170,311,62,2026-08-31,225.0,True
"Carter, Michael",Michael,Carter,,RB,TEN,michael carter,NFFC,240.57,199,199,1,2026-08-31,226.0,False
"Coleman Jr., Kevin",Kevin,Coleman,JR,WR,MIA,kevin coleman,NFFC,240.92,233,233,1,2026-08-31,227.0,False
"Henry Jr., Robert",Robert,Henry,JR,RB,WAS,robert henry,NFFC,240.95,236,236,1,2026-08-31,228.0,False
"Njoku, David",David,Njoku,,TE,LAC,david njoku,NFFC,240.98,177,329,43,2026-08-31,229.0,True
"Humphrey, Lil'Jordan",Lil'Jordan,Humphrey,,WR,DEN,liljordan humphrey,NFFC,240.99,240,240,1,2026-08-31,230.0,False
"Tremble, Tommy",Tommy,Tremble,,TE,CAR,tommy tremble,NFFC,241.65,304,304,1,2026-08-31,231.0,False
"Gore Jr., Frank",Frank,Gore,JR,RB,BUF,frank gore,NFFC,241.87,325,325,1,2026-08-31,232.0,False
"Brown, Barion",Barion,Brown,,WR,NO,barion brown,NFFC,241.89,327,327,1,2026-08-31,233.0,False
"Dortch, Greg",Greg,Dortch,,WR,DET,greg dortch,NFFC,241.91,329,329,1,2026-08-31,234.0,False
"Lock, Drew",Drew,Lock,,QB,SEA,drew lock,NFFC,241.93,331,331,1,2026-08-31,235.0,False
"Guerendo, Isaac",Isaac,Guerendo,,RB,SF,isaac guerendo,NFFC,241.94,222,351,2,2026-08-31,236.0,False
"Vaki, Sione",Sione,Vaki,,RB,DET,sione vaki,NFFC,241.95,238,336,2,2026-08-31,237.0,False
"Scott, Zavier",Zavier,Scott,,RB,MIN,zavier scott,NFFC,241.99,337,337,1,2026-08-31,238.0,False
"McNichols, Jeremy",Jeremy,McNichols,,RB,WAS,jeremy mcnichols,NFFC,242.03,341,341,1,2026-08-31,239.0,False
"Chism III, Efton",Efton,Chism,III,WR,NE,efton chism,NFFC,242.04,342,342,1,2026-08-31,240.0,False
"Howard, Will",Will,Howard,,QB,PIT,will howard,NFFC,242.04,342,342,1,2026-08-31,240.0,False
"Shepard, Sterling",Sterling,Shepard,,WR,HOU,sterling shepard,NFFC,242.06,344,344,1,2026-08-31,242.0,False
"Hill, Taysom",Taysom,Hill,,TE,NO,taysom hill,NFFC,242.07,345,345,1,2026-08-31,243.0,False
"Lance, Trey",Trey,Lance,,QB,LAC,trey lance,NFFC,242.08,346,346,1,2026-08-31,244.0,False
"Bennett IV, Stetson",Stetson,Bennett,IV,QB,LAR,stetson bennett,NFFC,242.09,347,347,1,2026-08-31,245.0,False
"Lane, Jaylin",Jaylin,Lane,,WR,WAS,jaylin lane,NFFC,242.11,349,349,1,2026-08-31,246.0,False
"Ewers, Quinn",Quinn,Ewers,,QB,MIA,quinn ewers,NFFC,242.12,350,350,1,2026-08-31,247.0,False
"Rivers, Philip",Philip,Rivers,,QB,IND,philip rivers,NFFC,242.15,353,353,1,2026-08-31,248.0,False
"Horn Jr., Jimmy",Jimmy,Horn,JR,WR,CAR,jimmy horn,NFFC,242.15,353,353,1,2026-08-31,248.0,False
"Abdullah, Ameer",Ameer,Abdullah,,RB,JAX,ameer abdullah,NFFC,242.18,355,355,1,2026-08-31,250.0,False
"Cameron, Josh",Josh,Cameron,,WR,JAX,josh cameron,NFFC,242.2,357,357,1,2026-08-31,251.0,False
"King, Haynes",Haynes,King,,QB,CAR,haynes king,NFFC,242.2,357,357,1,2026-08-31,251.0,False
"Ekeler, Austin",Austin,Ekeler,,RB,WAS,austin ekeler,NFFC,242.2,357,357,1,2026-08-31,251.0,False
"Ogunbowale, Dare",Dare,Ogunbowale,,RB,LV,dare ogunbowale,NFFC,242.21,358,358,1,2026-08-31,254.0,False
"Larison, Lan",Lan,Larison,,RB,NE,lan larison,NFFC,242.21,358,358,1,2026-08-31,254.0,False
"Dobbs, Joshua",Joshua,Dobbs,,QB,DET,joshua dobbs,NFFC,242.21,358,358,1,2026-08-31,254.0,False
"Royals, Jalen",Jalen,Royals,,WR,KC,jalen royals,NFFC,242.23,360,360,1,2026-08-31,257.0,False
"Fehoko, Simi",Simi,Fehoko,,WR,ARI,simi fehoko,NFFC,242.23,360,360,1,2026-08-31,257.0,False
"Williams, Isaiah",Isaiah,Williams,,WR,NYJ,isaiah williams,NFFC,242.39,301,316,2,2026-08-31,259.0,False
"Miller, Jam",Jam,Miller,,RB,NE,jam miller,NFFC,242.47,280,345,2,2026-08-31,260.0,False
"Cooper, Darius",Darius,Cooper,,WR,PHI,darius cooper,NFFC,242.72,313,336,2,2026-08-31,261.0,False
"Coleman, Keon",Keon,Coleman,,WR,BUF,keon coleman,NFFC,242.76,172,352,55,2026-08-31,262.0,True
"Penix Jr., Michael",Michael,Penix,JR,QB,ATL,michael penix,NFFC,242.79,195,324,26,2026-08-31,263.0,True
"Sinnott, Ben",Ben,Sinnott,,TE,WAS,ben sinnott,NFFC,242.81,322,336,2,2026-08-31,264.0,False
"Robinson, Demarcus",Demarcus,Robinson,,WR,SF,demarcus robinson,NFFC,242.89,222,350,5,2026-08-31,265.0,False
"Delp, Oscar",Oscar,Delp,,TE,NO,oscar delp,NFFC,242.95,318,353,2,2026-08-31,266.0,False
"Heidenreich, Eli",Eli,Heidenreich,,RB,PIT,eli heidenreich,NFFC,243.12,271,358,3,2026-08-31,267.0,False
"Musgrave, Luke",Luke,Musgrave,,TE,GB,luke musgrave,NFFC,243.13,337,352,2,2026-08-31,268.0,False
"Felton, Tai",Tai,Felton,,WR,MIN,tai felton,NFFC,243.18,345,348,2,2026-08-31,269.0,False
"Bellinger, Daniel",Daniel,Bellinger,,TE,TEN,daniel bellinger,NFFC,243.2,338,357,2,2026-08-31,270.0,False
"Hibner, Matt",Matt,Hibner,,TE,BAL,matt hibner,NFFC,243.2,335,360,2,2026-08-31,270.0,False
"Joly, Justin",Justin,Joly,,TE,DEN,justin joly,NFFC,243.21,236,358,3,2026-08-31,272.0,False
"Bernard, Germie",Germie,Bernard,,WR,PIT,germie bernard,NFFC,243.22,154,348,61,2026-08-31,273.0,True
"Estime, Audric",Audric,Estime,,RB,NO,audric estime,NFFC,243.24,341,358,2,2026-08-31,274.0,False
"Thomas, Zavion",Zavion,Thomas,,WR,CHI,zavion thomas,NFFC,243.26,344,357,2,2026-08-31,275.0,False
"Ali, Rasheen",Rasheen,Ali,,RB,BAL,rasheen ali,NFFC,243.28,348,355,2,2026-08-31,276.0,False
"Westbrook-Ikhine, Nick",Nick,Westbrook-Ikhine,,WR,IND,nick westbrook ikhine,NFFC,243.29,351,353,2,2026-08-31,277.0,False
"Strand, Jack",Jack,Strand,,QB,ATL,jack strand,NFFC,243.32,353,354,2,2026-08-31,278.0,False
"Engram, Evan",Evan,Engram,,TE,DEN,evan engram,NFFC,243.34,193,296,32,2026-08-31,279.0,True
"Browning, Jake",Jake,Browning,,QB,TB,jake browning,NFFC,243.35,355,355,2,2026-08-31,280.0,False
"Shipley, Will",Will,Shipley,,RB,PHI,will shipley,NFFC,243.38,289,333,3,2026-08-31,281.0,False
"Thompson, Brenen",Brenen,Thompson,,WR,LAC,brenen thompson,NFFC,243.4,290,333,3,2026-08-31,282.0,False
"Lambert-Smith, KeAndre",KeAndre,Lambert-Smith,,WR,LAC,keandre lambert smith,NFFC,243.43,359,359,2,2026-08-31,283.0,False
"Conner, James",James,Conner,,RB,ARI,james conner,NFFC,243.46,169,352,49,2026-08-31,284.0,True
"Demercado, Emari",Emari,Demercado,,RB,KC,emari demercado,NFFC,243.88,169,339,53,2026-08-31,285.0,True
"Mafah, Phil",Phil,Mafah,,RB,DAL,phil mafah,NFFC,243.94,229,358,5,2026-08-31,286.0,False
"Juszczyk, Kyle",Kyle,Juszczyk,,RB,SF,kyle juszczyk,NFFC,244.01,326,354,3,2026-08-31,287.0,False
"Daniels, CJ",CJ,Daniels,,WR,LAR,cj daniels,NFFC,244.02,229,358,4,2026-08-31,288.0,False
"Sanders, Shedeur",Shedeur,Sanders,,QB,CLE,shedeur sanders,NFFC,244.05,159,320,26,2026-08-31,289.0,True
"Williams, Savion",Savion,Williams,,WR,GB,savion williams,NFFC,244.14,326,355,3,2026-08-31,290.0,False
"Klare, Max",Max,Klare,,TE,LAR,max klare,NFFC,244.28,343,354,3,2026-08-31,291.0,False
"Rudolph, Mason",Mason,Rudolph,,QB,PIT,mason rudolph,NFFC,244.28,339,360,3,2026-08-31,291.0,False
"Taylor, Tyrod",Tyrod,Taylor,,QB,GB,tyrod taylor,NFFC,244.3,341,355,3,2026-08-31,293.0,False
"Walker, Devontez",Devontez,Walker,,WR,BAL,devontez walker,NFFC,244.35,343,354,3,2026-08-31,294.0,False
"Stidham, Jarrett",Jarrett,Stidham,,QB,DEN,jarrett stidham,NFFC,244.36,345,355,3,2026-08-31,295.0,False
"Mullens, Nick",Nick,Mullens,,QB,JAX,nick mullens,NFFC,244.46,351,356,3,2026-08-31,296.0,False
"Klubnik, Cade",Cade,Klubnik,,QB,NYJ,cade klubnik,NFFC,244.53,282,351,4,2026-08-31,297.0,False
"Davis, Malik",Malik,Davis,,RB,DAL,malik davis,NFFC,244.56,169,350,64,2026-08-31,298.0,True
"Fant, Noah",Noah,Fant,,TE,NO,noah fant,NFFC,244.6,356,359,3,2026-08-31,299.0,False
"Metchie III, John",John,Metchie,III,WR,CAR,john metchie,NFFC,244.77,302,358,4,2026-08-31,300.0,False
"Wilson, Emanuel",Emanuel,Wilson,,RB,SEA,emanuel wilson,NFFC,244.78,200,337,35,2026-08-31,301.0,True
"McCaffrey, Luke",Luke,McCaffrey,,WR,WAS,luke mccaffrey,NFFC,244.89,316,344,4,2026-08-31,302.0,False
"Whittington, Jordan",Jordan,Whittington,,WR,LAR,jordan whittington,NFFC,244.98,306,359,4,2026-08-31,303.0,False
"Bateman, Rashod",Rashod,Bateman,,WR,BAL,rashod bateman,NFFC,245.02,160,353,47,2026-08-31,304.0,True
"Mariota, Marcus",Marcus,Mariota,,QB,WAS,marcus mariota,NFFC,245.14,325,353,4,2026-08-31,305.0,False
"Rattler, Spencer",Spencer,Rattler,,QB,NO,spencer rattler,NFFC,245.34,337,358,4,2026-08-31,306.0,False
"Sanders, Ja'Tavion",Ja'Tavion,Sanders,,TE,CAR,jatavion sanders,NFFC,245.38,329,356,4,2026-08-31,307.0,False
"Austin III, Calvin",Calvin,Austin,III,WR,NYG,calvin austin,NFFC,245.4,338,360,4,2026-08-31,308.0,False
"Richardson Sr., Anthony",Anthony,Richardson,SR,QB,IND,anthony richardson,NFFC,245.72,272,354,5,2026-08-31,309.0,False
"Johnson, Tez",Tez,Johnson,,WR,TB,tez johnson,NFFC,246.12,245,359,6,2026-08-31,310.0,False
"Ertz, Zach",Zach,Ertz,,TE,WAS,zach ertz,NFFC,246.32,332,350,5,2026-08-31,311.0,False
"Turpin, KaVontae",KaVontae,Turpin,,WR,DAL,kavontae turpin,NFFC,246.4,245,359,6,2026-08-31,312.0,False
"Burks, Treylon",Treylon,Burks,,WR,WAS,treylon burks,NFFC,246.52,261,351,7,2026-08-31,313.0,False
"Beckham Jr., Odell",Odell,Beckham,JR,WR,NYG,odell beckham,NFFC,246.6,236,359,8,2026-08-31,314.0,False
"Allen, Kyle",Kyle,Allen,,QB,BUF,kyle allen,NFFC,246.68,313,348,6,2026-08-31,315.0,False
"Brazzell II, Chris",Chris,Brazzell,II,WR,CAR,chris brazzell,NFFC,246.79,351,356,5,2026-08-31,316.0,False
"Johnson, Roschon",Roschon,Johnson,,RB,CHI,roschon johnson,NFFC,246.82,229,357,9,2026-08-31,317.0,False
"Smith, Jonnu",Jonnu,Smith,,TE,GB,jonnu smith,NFFC,247.58,300,353,7,2026-08-31,318.0,False
"Huntley, Tyler",Tyler,Huntley,,QB,BAL,tyler huntley,NFFC,248.51,316,358,7,2026-08-31,319.0,False
"Etienne, Trevor",Trevor,Etienne,,RB,CAR,trevor etienne,NFFC,248.68,248,359,8,2026-08-31,320.0,False
"Bagent, Tyson",Tyson,Bagent,,QB,CHI,tyson bagent,NFFC,248.72,322,358,7,2026-08-31,321.0,False
"Raymond, Kalif",Kalif,Raymond,,WR,CHI,kalif raymond,NFFC,248.73,239,360,8,2026-08-31,322.0,False
"Benson, Malik",Malik,Benson,,WR,LV,malik benson,NFFC,248.91,207,357,10,2026-08-31,323.0,False
"Smith, Brashard",Brashard,Smith,,RB,KC,brashard smith,NFFC,248.93,240,360,10,2026-08-31,324.0,False
"Milton III, Joe",Joe,Milton,III,QB,DAL,joe milton,NFFC,248.97,310,356,8,2026-08-31,325.0,False
"DeVito, Tommy",Tommy,DeVito,,QB,NE,tommy devito,NFFC,248.98,344,360,7,2026-08-31,326.0,False
"Watson, Deshaun",Deshaun,Watson,,QB,CLE,deshaun watson,NFFC,249.07,191,353,27,2026-08-31,327.0,True
"Hunter, Jarquez",Jarquez,Hunter,,RB,MIA,jarquez hunter,NFFC,249.39,202,358,17,2026-08-31,328.0,True
"Mills, Davis",Davis,Mills,,QB,HOU,davis mills,NFFC,249.52,297,360,8,2026-08-31,329.0,False
"Gordon II, Ollie",Ollie,Gordon,II,RB,MIA,ollie gordon,NFFC,249.82,194,346,46,2026-08-31,330.0,True
"Neal, Devin",Devin,Neal,,RB,NO,devin neal,NFFC,249.86,332,359,8,2026-08-31,331.0,False
"Young, Colbie",Colbie,Young,,WR,CIN,colbie young,NFFC,249.92,229,360,10,2026-08-31,332.0,False
"All Jr., Erick",Erick,All,JR,TE,CIN,erick all,NFFC,250.13,324,358,9,2026-08-31,333.0,False
"Johnson, Kaleb",Kaleb,Johnson,,RB,PIT,kaleb johnson,NFFC,250.23,252,353,11,2026-08-31,334.0,False
"Kirk, Christian",Christian,Kirk,,WR,SF,christian kirk,NFFC,250.45,184,354,38,2026-08-31,335.0,True
"Bech, Jack",Jack,Bech,,WR,LV,jack bech,NFFC,250.51,209,335,38,2026-08-31,336.0,True
"Bond, Isaiah",Isaiah,Bond,,WR,CLE,isaiah bond,NFFC,250.55,326,359,9,2026-08-31,337.0,False
"Tolbert, Jalen",Jalen,Tolbert,,WR,MIA,jalen tolbert,NFFC,250.73,208,359,28,2026-08-31,338.0,True
"Wilson, Roman",Roman,Wilson,,WR,PIT,roman wilson,NFFC,251.3,299,359,10,2026-08-31,339.0,False
"Miller, Kendre",Kendre,Miller,,RB,NO,kendre miller,NFFC,251.35,182,356,26,2026-08-31,340.0,True
"Zaccheaus, Olamide",Olamide,Zaccheaus,,WR,ATL,olamide zaccheaus,NFFC,251.65,330,359,10,2026-08-31,341.0,False
"Benson, Trey",Trey,Benson,,RB,ARI,trey benson,NFFC,251.81,208,360,15,2026-08-31,342.0,True
"Kolar, Charlie",Charlie,Kolar,,TE,LAC,charlie kolar,NFFC,251.85,199,355,16,2026-08-31,343.0,True
"Taylor, Mason",Mason,Taylor,,TE,NYJ,mason taylor,NFFC,251.92,148,335,26,2026-08-31,344.0,True
"Aiyuk, Brandon",Brandon,Aiyuk,,WR,SF,brandon aiyuk,NFFC,252.07,203,357,18,2026-08-31,345.0,True
"Giddens, DJ",DJ,Giddens,,RB,IND,dj giddens,NFFC,252.12,200,351,26,2026-08-31,346.0,True
"McCarthy, J.J.",J.J.,McCarthy,,QB,MIN,jj mccarthy,NFFC,252.25,221,356,13,2026-08-31,347.0,False
"Bourne, Kendrick",Kendrick,Bourne,,WR,ARI,kendrick bourne,NFFC,252.54,249,357,14,2026-08-31,348.0,False
"Higbee, Tyler",Tyler,Higbee,,TE,LAR,tyler higbee,NFFC,252.59,314,360,11,2026-08-31,349.0,False
"Mayer, Michael",Michael,Mayer,,TE,LV,michael mayer,NFFC,252.78,200,344,28,2026-08-31,350.0,True
"Hunt, Kareem",Kareem,Hunt,,RB,KC,kareem hunt,NFFC,252.86,138,350,16,2026-08-31,351.0,True
"Hill, Tyreek",Tyreek,Hill,,WR,MIA,tyreek hill,NFFC,252.87,201,357,25,2026-08-31,352.0,True
"Palmer, Joshua",Joshua,Palmer,,WR,BUF,joshua palmer,NFFC,253.06,298,360,12,2026-08-31,353.0,False
"Gesicki, Mike",Mike,Gesicki,,TE,CIN,mike gesicki,NFFC,253.28,227,327,26,2026-08-31,354.0,True
"Hutchinson, Xavier",Xavier,Hutchinson,,WR,HOU,xavier hutchinson,NFFC,253.29,187,353,20,2026-08-31,355.0,True
"Thornton, Tyquan",Tyquan,Thornton,,WR,KC,tyquan thornton,NFFC,253.51,192,349,31,2026-08-31,356.0,True
"Atwell, Tutu",Tutu,Atwell,,WR,LAR,tutu atwell,NFFC,253.63,226,360,13,2026-08-31,357.0,False
"Singletary, Devin",Devin,Singletary,,RB,NYG,devin singletary,NFFC,253.87,162,349,27,2026-08-31,358.0,True
"Dike, Chimere",Chimere,Dike,,WR,TEN,chimere dike,NFFC,253.89,181,347,24,2026-08-31,359.0,True
"Simpson, Ty",Ty,Simpson,,QB,LAR,ty simpson,NFFC,253.94,318,357,13,2026-08-31,360.0,False
"Allen Jr., LeQuint",LeQuint,Allen,JR,RB,JAX,lequint allen,NFFC,253.98,177,353,36,2026-08-31,361.0,True
"Fields, Justin",Justin,Fields,,QB,KC,justin fields,NFFC,254.32,253,359,19,2026-08-31,362.0,True
"Bell, Skyler",Skyler,Bell,,WR,BUF,skyler bell,NFFC,254.44,214,360,20,2026-08-31,363.0,True
"Randall, Adam",Adam,Randall,,RB,BAL,adam randall,NFFC,254.48,190,352,31,2026-08-31,364.0,True
"Douglas, DeMario",DeMario,Douglas,,WR,NE,demario douglas,NFFC,254.87,189,351,36,2026-08-31,365.0,True
"Lance, Bryce",Bryce,Lance,,WR,NO,bryce lance,NFFC,255.49,197,359,37,2026-08-31,366.0,True
"Waller, Darren",Darren,Waller,,TE,CAR,darren waller,NFFC,255.56,155,346,27,2026-08-31,367.0,True
"Raridon, Eli",Eli,Raridon,,TE,NE,eli raridon,NFFC,255.62,69,351,21,2026-08-31,368.0,True
"Dotson, Jahan",Jahan,Dotson,,WR,ATL,jahan dotson,NFFC,255.92,218,358,26,2026-08-31,369.0,True
"Slayton, Darius",Darius,Slayton,,WR,NYG,darius slayton,NFFC,256.28,204,356,26,2026-08-31,370.0,True
"Flacco, Joe",Joe,Flacco,,QB,CIN,joe flacco,NFFC,256.9,277,358,17,2026-08-31,371.0,True
"Iosivas, Andrei",Andrei,Iosivas,,WR,CIN,andrei iosivas,NFFC,257.3,226,339,29,2026-08-31,372.0,True
"Stowers, Eli",Eli,Stowers,,TE,PHI,eli stowers,NFFC,257.31,242,352,22,2026-08-31,373.0,True
"Brooks, Chris",Chris,Brooks,,RB,GB,chris brooks,NFFC,257.47,220,359,30,2026-08-31,374.0,True
"Hollins, Mack",Mack,Hollins,,WR,NE,mack hollins,NFFC,257.64,182,360,18,2026-08-31,375.0,True
"Johnson, Theo",Theo,Johnson,,TE,NYG,theo johnson,NFFC,257.82,210,355,24,2026-08-31,376.0,True
"Williams, Kyle",Kyle,Williams,,WR,NE,kyle williams,NFFC,257.92,201,360,26,2026-08-31,377.0,True
"Legette, Xavier",Xavier,Legette,,WR,CAR,xavier legette,NFFC,257.93,292,358,18,2026-08-31,378.0,True
"Brown, Hollywood",Hollywood,Brown,,WR,PHI,hollywood brown,NFFC,258.38,198,348,26,2026-08-31,379.0,True
"Brooks, Tahj",Tahj,Brooks,,RB,CIN,tahj brooks,NFFC,258.47,207,351,28,2026-08-31,380.0,True
"Beck, Carson",Carson,Beck,,QB,ARI,carson beck,NFFC,258.47,249,356,25,2026-08-31,380.0,True
"Mims Jr., Marvin",Marvin,Mims,JR,WR,DEN,marvin mims,NFFC,258.81,302,360,18,2026-08-31,382.0,True
"Gray, Noah",Noah,Gray,,TE,KC,noah gray,NFFC,258.88,248,360,19,2026-08-31,383.0,True
"Jones, Mac",Mac,Jones,,QB,SF,mac jones,NFFC,258.97,220,360,22,2026-08-31,384.0,True
"Arroyo, Elijah",Elijah,Arroyo,,TE,SEA,elijah arroyo,NFFC,259.24,235,352,28,2026-08-31,385.0,True
"Washington, Darnell",Darnell,Washington,,TE,PIT,darnell washington,NFFC,259.34,258,346,25,2026-08-31,386.0,True
"Davis, Isaiah",Isaiah,Davis,,RB,NYJ,isaiah davis,NFFC,259.75,210,358,31,2026-08-31,387.0,True
"Horton, Tory",Tory,Horton,,WR,SEA,tory horton,NFFC,259.87,185,354,26,2026-08-31,388.0,True
"Sarratt, Elijah",Elijah,Sarratt,,WR,BAL,elijah sarratt,NFFC,260.28,200,360,26,2026-08-31,389.0,True
"Kmet, Cole",Cole,Kmet,,TE,CHI,cole kmet,NFFC,260.34,295,357,22,2026-08-31,390.0,True
"Knox, Dawson",Dawson,Knox,,TE,BUF,dawson knox,NFFC,261.85,257,356,26,2026-08-31,391.0,True
"Ayomanor, Elic",Elic,Ayomanor,,WR,TEN,elic ayomanor,NFFC,261.93,240,359,25,2026-08-31,392.0,True
"Winston, Jameis",Jameis,Winston,,QB,NYG,jameis winston,NFFC,262.59,313,360,22,2026-08-31,393.0,True
"Johnson, Ty",Ty,Johnson,,RB,BUF,ty johnson,NFFC,263.3,236,360,26,2026-08-31,394.0,True
